rdc_u,rdc_rel,rdc_pol,rdc_in
1.0,0.777,0.766,1.0
1.0,0.776,0.765,1.0
1.0,0.776,0.764,1.0
1.0,0.775,0.764,1.0
1.0,0.674,0.663,1.0
1.0,0.65,0.642,1.0
1.0,0.524,0.523,1.0
1.0,0.52,0.517,0.0
1.0,0.519,0.514,0.0
1.0,0.519,0.513,0.0
1.0,0.514,0.51,0.0
1.0,0.514,0.509,0.0
1.0,0.404,0.402,0.0
1.0,0.348,0.347,0.0
1.0,0.32,0.317,0.0
1.0,0.165,0.165,0.0
1.0,0.161,0.16,0.0
1.0,0.157,0.157,0.0
1.0,0.157,0.156,0.0
1.0,0.153,0.153,0.0
1.0,0.153,0.153,0.0
1.0,0.153,0.152,0.0
1.0,0.148,0.146,0.0
1.0,0.141,0.141,0.0
1.0,0.136,0.136,0.0
1.0,0.136,0.136,0.0
1.0,0.136,0.136,0.0
1.0,0.135,0.134,0.0
1.0,0.13,0.13,0.0
1.0,0.127,0.127,0.0
1.0,0.127,0.126,0.0
1.0,0.127,0.126,0.0
1.0,0.127,0.126,0.0
1.0,0.125,0.123,0.0
1.0,0.118,0.117,0.0
1.0,0.118,0.115,0.0
0.876,0.117,0.115,0.0
0.861,0.117,0.115,0.0
0.852,0.114,0.114,0.0
0.812,0.113,0.112,0.0
0.807,0.113,0.111,0.0
0.786,0.111,0.111,0.0
0.055,0.111,0.111,0.0
0.0,0.111,0.111,0.0
0.0,0.109,0.107,0.0
0.0,0.108,0.106,0.0
0.0,0.103,0.1,0.0
0.0,0.1,0.1,0.0
