rdc_u,rdc_rel,rdc_pol,rdc_in
1.0,0.777,0.761,1.0
1.0,0.777,0.761,1.0
1.0,0.777,0.761,1.0
1.0,0.777,0.761,1.0
1.0,0.777,0.761,1.0
1.0,0.777,0.761,1.0
1.0,0.777,0.761,1.0
1.0,0.777,0.761,1.0
1.0,0.776,0.761,1.0
1.0,0.776,0.76,1.0
1.0,0.776,0.76,1.0
1.0,0.776,0.76,1.0
1.0,0.776,0.76,1.0
1.0,0.776,0.76,1.0
1.0,0.775,0.76,1.0
0.547,0.775,0.759,1.0
0.451,0.775,0.759,1.0
0.388,0.775,0.759,1.0
0.354,0.775,0.759,1.0
0.077,0.774,0.758,1.0
0.071,0.772,0.756,1.0
0.07,0.772,0.756,1.0
0.0,0.77,0.754,1.0
0.0,0.766,0.749,1.0
0.0,0.722,0.707,1.0
0.0,0.722,0.705,1.0
0.0,0.697,0.636,0.0
0.0,0.657,0.628,0.0
0.0,0.646,0.618,0.0
0.0,0.644,0.604,0.0
0.0,0.638,0.6,0.0
0.0,0.596,0.576,0.0
0.0,0.588,0.544,0.0
0.0,0.568,0.514,0.0
0.0,0.542,0.504,0.0
0.0,0.452,0.393,0.0
0.0,0.445,0.39,0.0
0.0,0.393,0.356,0.0
0.0,0.384,0.344,0.0
0.0,0.361,0.332,0.0
0.0,0.353,0.293,0.0
0.0,0.306,0.25,0.0
0.0,0.251,0.206,0.0
0.0,0.248,0.206,0.0
0.0,0.248,0.187,0.0
0.0,0.225,0.174,0.0
0.0,0.186,0.153,0.0
0.0,0.139,0.113,0.0
0.0,0.127,0.104,0.0
0.0,0.123,0.099,0.0
