U in s5,Po  in s5,In  in s5,Re  in s5,group,decisions,goals
1.4653418998489043,2.2810906882391198,0.5454545454545454,0.06970000000000001,0,"[0.0999308  0.0999308  0.0999308  0.1        0.0999308  0.1
 0.08939659 0.1        0.1        0.0999308  0.1        0.1
 0.0999308  0.0999308  0.1        0.0999308  0.1        0.0999308
 0.05635904 0.0999308  0.0999308  0.03753156 0.1        0.0999308
 0.0999308  0.0999308  0.0999308  0.1        0.1        0.0999308
 0.1        0.0999308  0.0999308  0.08691588 0.0999308  0.1
 0.08509664 0.0999308  0.1        0.05664409 0.05679003 0.1
 0.07090586 0.1        0.00903887 0.05793294 0.0999308  0.07074863
 0.1        0.06776645 0.05767418 0.0001     0.0001     0.09520053
 0.1        0.04960561 0.09040343 0.06552295 0.05129268 0.0643933
 0.02620709 0.05094776 0.09126861 0.0999308  0.01141657 0.09789106
 0.00268614 0.09278477 0.09998225 0.07280647 0.0840361  0.03928533
 0.05149538 0.02264886 0.04714788 0.02944378 0.1        0.09255577
 0.06382145 0.0999308  0.0999308  0.1        0.00015301 0.05990026
 0.07613745 0.05090789 0.04406613 0.09024958 0.07100033 0.06304581
 0.09277997 0.04003593 0.05701716 0.0001     0.0999308  0.08698526
 0.05937573 0.09996017 0.04332423 0.00729927]",[[-1.73475222  2.2841243  -1.         -0.0697    ]]
1.7213835174341234,2.2835696506325736,0.9595959595959596,0.07,1,"[0.09987929 0.09993107 0.1        0.09993249 0.09999711 0.09996532
 0.09999407 0.09993509 0.09996532 0.09995371 0.09996832 0.09996295
 0.09999936 0.09983492 0.09999235 0.09991097 0.09988143 0.09996532
 0.09996438 0.09991097 0.09993364 0.09996832 0.09990746 0.09994959
 0.09987929 0.09996832 0.0998368  0.09996532 0.09995984 0.09996532
 0.09988316 0.09991411 0.09991025 0.09999276 0.09996045 0.09996412
 0.09990235 0.0999129  0.09993663 0.09997502 0.09995534 0.09994358
 0.09993364 0.09995963 0.09987929 0.09996532 0.09988107 0.09996532
 0.09994714 0.09987258 0.0999056  0.09996625 0.09996532 0.09993364
 0.09993818 0.09995088 0.09991092 0.09990876 0.09994452 0.09991097
 0.09991097 0.09987847 0.09994907 0.05714102 0.08386176 0.09991097
 0.09995326 0.09990782 0.09992039 0.0999084  0.09993188 0.09982185
 0.09987541 0.09991876 0.09993364 0.09981422 0.09990909 0.09987886
 0.09987531 0.03880697 0.09987929 0.09987353 0.09992298 0.09983175
 0.09989912 0.09993364 0.09987783 0.09993107 0.09974818 0.09987602
 0.09982383 0.09988789 0.09987674 0.09987432 0.09996741 0.09994983
 0.09991097 0.08780529 0.09981217 0.09987915]",[[-5.         2.2841243 -1.        -0.0697   ]]
1.663800867362729,2.2836497237936872,0.8383838383838383,0.07,2,"[0.1        0.1        0.0999177  0.1        0.09995368 0.09995402
 0.09984619 0.1        0.09998789 0.09998176 0.1        0.1
 0.09995402 0.09997335 0.09997105 0.1        0.09940476 0.1
 0.1        0.09994487 0.1        0.1        0.09998463 0.1
 0.0998988  0.1        0.1        0.1        0.0894308  0.09999938
 0.09995551 0.09995402 0.1        0.09934058 0.09991188 0.09986644
 0.09991313 0.09976482 0.09998718 0.09956176 0.09989863 0.09999666
 0.0999991  0.02479035 0.1        0.09993621 0.08461701 0.07427611
 0.09993586 0.09983575 0.1        0.09999638 0.09990909 0.09992386
 0.07201906 0.04646017 0.06451326 0.0998492  0.0999591  0.09995402
 0.09979392 0.05622513 0.09995852 0.08369935 0.09999643 0.09994726
 0.09982919 0.09999266 0.09998191 0.09995024 0.09967788 0.09999629
 0.08311775 0.09996744 0.1        0.1        0.09991095 0.00101707
 0.09999549 0.1        0.0988162  0.09993196 0.06453023 0.09992565
 0.09666392 0.09999344 0.09995402 0.09974951 0.09995402 0.0997069
 0.00111254 0.09987701 0.09993535 0.09992168 0.09998145 0.09985837
 0.09970994 0.09971494 0.05877816 0.01726483]",[[-8.37297405 10.61627907 -0.49069767 -1.15674419]]
0.6170198303286551,2.082012433044061,0.6666666666666666,0.1729999999999999,3,"[0.04884077 0.04884077 0.01370443 0.04884077 0.04884077 0.04884077
 0.04884077 0.04884077 0.04884077 0.04884077 0.04884077 0.04884077
 0.04884077 0.04884077 0.04884077 0.04884077 0.04663178 0.04884077
 0.04884077 0.04884077 0.04884077 0.04884077 0.04884077 0.04884077
 0.04884077 0.03720292 0.0269028  0.00019059 0.02943297 0.04884077
 0.0011316  0.00019059 0.03195439 0.00019059 0.02811024 0.04884077
 0.04884077 0.01058715 0.00019059 0.04884077 0.00926842 0.04884077
 0.04884077 0.00414004 0.02877156 0.00965182 0.04877002 0.04884077
 0.03256713 0.04884077 0.02990424 0.04884077 0.04884077 0.01239567
 0.04287181 0.0146984  0.00299584 0.04258056 0.02914333 0.04768188
 0.0409323  0.04435126 0.03729803 0.00872591 0.00010631 0.03623788
 0.00019059 0.04884077 0.03522227 0.02729998 0.01450746 0.03532891
 0.04491506 0.02807903 0.00245202 0.04884077 0.01081694 0.02755055
 0.02409372 0.04286953 0.03737393 0.01326277 0.00019059 0.02732592
 0.03760311 0.00019059 0.027969   0.02831251 0.00010533 0.0138484
 0.00188231 0.00019059 0.0173706  0.0001     0.01308171 0.0001
 0.00019059 0.00019059 0.01768607 0.00844148]",[[-0.91580436  2.08333333 -0.95       -0.11083333]]
0.0392570078325863,0.06361381238472857,1.0,1.0000000000000007,4,"[0.00229942 0.00255471 0.00230377 0.00240654 0.00269167 0.00268375
 0.00220007 0.00230247 0.0023043  0.00275053 0.0024249  0.00259628
 0.00210862 0.00284533 0.00278494 0.00265188 0.00265401 0.00248942
 0.00249365 0.00230209 0.00246158 0.00277453 0.00229777 0.00258793
 0.00226484 0.00255761 0.00230531 0.00230628 0.00236324 0.0023025
 0.00197201 0.00242705 0.00226012 0.00268317 0.00239957 0.00262504
 0.0021094  0.00257178 0.00230243 0.00262992 0.00195941 0.00301861
 0.00249431 0.00220631 0.002329   0.00238513 0.00180728 0.00167099
 0.00059887 0.00230288 0.00113828 0.00191607 0.00219765 0.00238951
 0.00226348 0.00274837 0.00230286 0.00239997 0.00150185 0.00182577
 0.00083255 0.00211722 0.00077932 0.00158857 0.00194732 0.00231743
 0.00181264 0.00249678 0.00230243 0.0011415  0.00090392 0.00233868
 0.0022066  0.00168407 0.00159314 0.00230284 0.00229744 0.00156782
 0.00220719 0.00196756 0.00263927 0.00144241 0.00239504 0.00164702
 0.00048644 0.00230129 0.00112659 0.00193175 0.00222532 0.00236188
 0.00104233 0.00204671 0.00091481 0.00194733 0.00206852 0.0020127
 0.00259473 0.00193604 0.00058899 0.00064394]",[[-0.00895562  0.05713722 -1.         -1.        ]]
1.2666123237231157,2.2685925304341494,0.4444444444444444,0.07,5,"[0.0999666  0.09956871 0.09982792 0.09958486 0.09981403 0.09968204
 0.09998093 0.09978932 0.09999737 0.09909885 0.08379153 0.1
 0.09996211 0.08906399 0.09995884 0.09981239 0.09942849 0.09978985
 0.1        0.09981229 0.09909479 0.09939717 0.09978546 0.0998283
 0.01131144 0.07836332 0.07714341 0.09981339 0.07839679 0.03274476
 0.0914421  0.0621341  0.09211461 0.00088333 0.09982515 0.09988808
 0.08087119 0.08921493 0.09908542 0.09897536 0.00024811 0.09980011
 0.09951218 0.07528221 0.08022172 0.00085746 0.07916295 0.00047347
 0.06916933 0.02881942 0.08284933 0.08497075 0.02960717 0.00053494
 0.04975712 0.08750631 0.0010955  0.06641437 0.00057914 0.08843563
 0.08831469 0.00116213 0.08129727 0.02566099 0.03316858 0.00017654
 0.07371188 0.02627524 0.0068574  0.06989225 0.07518858 0.04923942
 0.00151718 0.02151732 0.04271689 0.06767455 0.00504707 0.04540488
 0.00281426 0.00027647 0.04621361 0.09946144 0.01792168 0.00739713
 0.03975449 0.0012956  0.01991879 0.00623405 0.02486968 0.00083016
 0.02203015 0.00117524 0.01359495 0.05401125 0.02698836 0.00385226
 0.00094719 0.00051563 0.08455387 0.00082274]",[[-5.82794898  3.63       -0.658      -0.2164    ]]
0.5179028968805423,2.047425212120538,0.7272727272727273,0.20679999999999987,6,"[0.04475823 0.04423027 0.04456405 0.04446716 0.04456405 0.04459015
 0.04452735 0.01871437 0.04483042 0.04459522 0.04413249 0.0448553
 0.03967299 0.04417705 0.04430397 0.04275365 0.0443962  0.04466067
 0.04437056 0.04484736 0.04417705 0.0445599  0.04085619 0.04435537
 0.0448553  0.04041754 0.04466161 0.03924221 0.03791305 0.01683175
 0.03225005 0.01678249 0.00074975 0.00087562 0.00749619 0.00080282
 0.0440179  0.03157185 0.00345098 0.02804217 0.01055733 0.04460419
 0.04464146 0.04466067 0.00345925 0.02140035 0.04456405 0.04140458
 0.00736921 0.03368402 0.02849125 0.00072721 0.0212946  0.04417705
 0.01496404 0.01849638 0.00058616 0.02492441 0.02986333 0.00079929
 0.02486058 0.00167144 0.01143743 0.00068287 0.00070709 0.00221414
 0.00073508 0.03520144 0.00233021 0.01137042 0.01752944 0.00167481
 0.00087581 0.01663096 0.00066425 0.00097318 0.00087581 0.00958024
 0.00091946 0.02927084 0.02845942 0.03500491 0.0006822  0.0216186
 0.00079909 0.00058531 0.00087581 0.00584299 0.00095978 0.01963815
 0.00083297 0.00094399 0.00076691 0.02461849 0.00120843 0.00138786
 0.01349102 0.01171861 0.00418193 0.00074239]",[[-0.48119022  5.61       -0.766      -0.4124    ]]
0.0017347608882104931,0.05570943018063832,1.0,1.0000000000000007,7,"[0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001]",[[-0.00173476  0.05558882 -1.         -1.        ]]
1.5193620581292426,2.2825261287312513,0.6666666666666666,0.07,8,"[0.1        0.09990706 0.0998659  0.09961584 0.09998901 0.09956758
 0.09997248 0.09994604 0.09986889 0.099981   0.09996136 0.09995685
 0.09995637 0.0994804  0.09961852 0.09970357 0.09941953 0.09980646
 0.09957308 0.09978322 0.09953543 0.09954907 0.09933976 0.09962415
 0.09988154 0.08361572 0.0999511  0.08312612 0.09977663 0.09982248
 0.09982802 0.09976219 0.09955681 0.09951286 0.09973545 0.09993717
 0.09997496 0.09974032 0.09982253 0.02362458 0.04270157 0.07038277
 0.09946381 0.00173233 0.09964092 0.09981646 0.07498316 0.00131335
 0.00118679 0.08500939 0.09981493 0.09905244 0.09988839 0.09991778
 0.09960676 0.09966629 0.03392599 0.09260919 0.09967973 0.08398137
 0.09892257 0.09997496 0.09978874 0.02628906 0.09990178 0.06290397
 0.0003415  0.09969466 0.03523309 0.06470383 0.09965081 0.09597357
 0.00127978 0.05309242 0.05059376 0.07132885 0.09384136 0.0886426
 0.08993629 0.09992122 0.00091548 0.03266025 0.06625996 0.07159859
 0.02685987 0.05170525 0.08175205 0.0689832  0.0996476  0.08855522
 0.09663674 0.08905031 0.09996302 0.0595791  0.05811526 0.09984047
 0.06240065 0.00280039 0.00051237 0.00869526]",[[-10.32616005   1.19047619  -0.87142857  -4.17333333]]
0.0017397442416834754,0.05549444310860877,1.0,1.0000000000000007,9,"[0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.00011205 0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.00010516 0.0001     0.0001     0.0001101
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001     0.0001     0.0001
 0.0001     0.0001     0.0001     0.0001    ]",[[ -0.01   0.    -0.7  -10.  ]]
