Utility,Pollution,Inertia,Reliability,both,group,rank
1.0,0.52,0.0,0.527,0.527,0.0,27
1.0,0.46,0.0,0.476,0.476,0.0,0
0.991,0.527,0.0,0.529,0.523,0.0,29
1.0,0.48,0.0,0.494,0.494,0.0,3
1.0,0.483,0.0,0.493,0.493,0.0,2
0.877,0.531,0.0,0.536,0.472,0.0,34
0.474,0.591,0.0,0.594,0.288,0.0,45
0.977,0.516,0.0,0.519,0.505,0.0,18
1.0,0.499,0.0,0.508,0.508,0.0,10
0.668,0.535,0.0,0.541,0.365,0.0,35
1.0,0.483,0.0,0.497,0.497,0.0,4
0.332,0.604,0.0,0.607,0.202,0.0,48
0.217,0.634,0.0,0.637,0.134,0.0,49
0.696,0.516,0.0,0.519,0.362,0.0,19
0.919,0.518,0.0,0.52,0.478,0.0,21
0.354,0.59,0.0,0.596,0.21,0.0,46
0.963,0.513,0.0,0.519,0.502,0.0,15
0.603,0.538,0.0,0.543,0.339,0.0,36
0.985,0.52,0.0,0.529,0.52,0.0,30
0.928,0.484,0.0,0.491,0.457,0.0,1
0.761,0.517,0.0,0.524,0.396,0.0,26
0.378,0.576,0.0,0.581,0.227,0.0,44
0.561,0.543,0.0,0.552,0.322,0.0,37
0.986,0.517,0.0,0.52,0.512,0.0,22
0.966,0.524,0.0,0.53,0.513,0.0,32
0.286,0.596,0.0,0.6,0.176,0.0,47
0.58,0.56,0.0,0.562,0.339,0.0,40
1.0,0.53,0.0,0.535,0.535,0.0,33
0.837,0.576,0.0,0.578,0.484,0.0,42
0.968,0.499,0.0,0.507,0.49,0.0,8
1.0,0.514,0.0,0.52,0.52,0.0,24
1.0,0.513,0.0,0.519,0.519,0.0,16
1.0,0.496,0.0,0.506,0.506,0.0,7
1.0,0.497,0.0,0.507,0.507,0.0,9
1.0,0.495,0.0,0.506,0.506,0.0,6
0.979,0.506,0.0,0.51,0.496,0.0,11
1.0,0.496,0.0,0.505,0.505,0.0,5
0.262,0.558,0.0,0.561,0.152,0.0,39
0.331,0.555,0.0,0.559,0.192,0.0,38
0.465,0.573,0.0,0.581,0.282,0.0,43
0.947,0.52,0.0,0.521,0.495,0.0,25
0.761,0.515,0.0,0.52,0.394,0.0,20
0.749,0.522,0.0,0.527,0.393,0.0,28
0.885,0.516,0.0,0.519,0.461,0.0,17
0.698,0.528,0.0,0.53,0.37,0.0,31
0.851,0.509,0.0,0.513,0.436,0.0,12
0.756,0.512,0.0,0.517,0.389,0.0,14
0.869,0.52,0.0,0.52,0.453,0.0,23
0.86,0.512,0.0,0.517,0.445,0.0,13
0.3,0.562,0.0,0.568,0.176,0.0,41
