Utility,Pollution,Inertia,Reliability,group,rank
1.0,0.52,0.0,0.531,0.0,22
1.0,0.46,0.0,0.515,0.0,0
0.991,0.527,0.0,0.533,0.0,26
1.0,0.48,0.0,0.52,0.0,3
1.0,0.483,0.0,0.519,0.0,2
0.877,0.531,0.0,0.54,0.0,32
0.474,0.591,0.0,0.599,0.0,44
0.977,0.516,0.0,0.52,0.0,6
1.0,0.499,0.0,0.534,0.0,28
0.668,0.535,0.0,0.561,0.0,36
1.0,0.483,0.0,0.519,0.0,1
0.332,0.604,0.0,0.616,0.0,48
0.217,0.634,0.0,0.643,0.0,49
0.696,0.516,0.0,0.527,0.0,14
0.919,0.518,0.0,0.53,0.0,19
0.354,0.59,0.0,0.604,0.0,46
0.963,0.513,0.0,0.531,0.0,23
0.603,0.538,0.0,0.554,0.0,35
0.985,0.52,0.0,0.536,0.0,30
0.928,0.484,0.0,0.527,0.0,16
0.761,0.517,0.0,0.539,0.0,31
0.378,0.576,0.0,0.591,0.0,43
0.561,0.543,0.0,0.59,0.0,42
0.986,0.517,0.0,0.53,0.0,20
0.966,0.524,0.0,0.547,0.0,34
0.286,0.596,0.0,0.616,0.0,47
0.58,0.56,0.0,0.569,0.0,37
1.0,0.53,0.0,0.546,0.0,33
0.837,0.576,0.0,0.585,0.0,41
0.968,0.499,0.0,0.535,0.0,29
1.0,0.514,0.0,0.529,0.0,17
1.0,0.513,0.0,0.532,0.0,24
1.0,0.496,0.0,0.52,0.0,5
1.0,0.497,0.0,0.521,0.0,10
1.0,0.495,0.0,0.52,0.0,4
0.979,0.506,0.0,0.531,0.0,21
1.0,0.496,0.0,0.52,0.0,7
0.262,0.558,0.0,0.573,0.0,39
0.331,0.555,0.0,0.571,0.0,38
0.465,0.573,0.0,0.6,0.0,45
0.947,0.52,0.0,0.529,0.0,18
0.761,0.515,0.0,0.523,0.0,12
0.749,0.522,0.0,0.533,0.0,25
0.885,0.516,0.0,0.525,0.0,13
0.698,0.528,0.0,0.534,0.0,27
0.851,0.509,0.0,0.52,0.0,8
0.756,0.512,0.0,0.521,0.0,11
0.869,0.52,0.0,0.527,0.0,15
0.86,0.512,0.0,0.521,0.0,9
0.3,0.562,0.0,0.578,0.0,40
