Utility,Pollution,Inertia,Reliability,rank
1.0,0.108,0.0,0.11,3
1.0,0.135,0.0,0.136,25
0.0,0.743,1.0,0.756,40
1.0,0.1,0.0,0.1,0
1.0,0.126,0.0,0.127,22
1.0,0.108,0.0,0.11,2
0.0,0.764,1.0,0.777,45
0.0,0.699,1.0,0.702,36
1.0,0.124,0.0,0.125,19
1.0,0.123,0.0,0.123,18
1.0,0.118,0.0,0.118,13
0.0,0.765,1.0,0.777,41
0.0,0.737,1.0,0.746,39
0.0,0.767,1.0,0.777,42
1.0,0.127,0.0,0.127,20
1.0,0.117,0.0,0.118,14
1.0,0.113,0.0,0.114,9
1.0,0.109,0.0,0.111,5
0.0,0.765,1.0,0.777,46
1.0,0.369,0.0,0.373,28
0.0,0.701,1.0,0.708,37
1.0,0.155,0.0,0.155,26
0.0,0.765,1.0,0.777,48
1.0,0.115,0.0,0.115,11
1.0,0.106,0.0,0.108,1
1.0,0.127,0.0,0.127,21
1.0,0.129,0.0,0.13,24
0.0,0.766,1.0,0.777,47
1.0,0.114,0.0,0.114,8
0.0,0.69,1.0,0.699,35
1.0,0.111,0.0,0.111,4
1.0,0.13,0.0,0.13,23
0.0,0.766,1.0,0.777,44
0.0,0.703,1.0,0.708,38
0.0,0.765,1.0,0.777,43
1.0,0.114,0.0,0.114,7
0.459,0.57,0.0,0.573,31
1.0,0.113,0.0,0.114,10
0.673,0.528,0.0,0.531,30
0.0,0.682,1.0,0.69,34
1.0,0.115,0.0,0.118,16
0.381,0.603,1.0,0.607,33
1.0,0.115,0.0,0.117,12
0.462,0.602,0.0,0.606,32
1.0,0.119,0.0,0.121,17
1.0,0.336,0.0,0.344,27
1.0,0.118,0.0,0.118,15
1.0,0.395,0.0,0.397,29
1.0,0.113,0.0,0.113,6
0.0,0.764,1.0,0.777,49
